Attribute,Anchor Element,GeneratedClause,Label
Medicaid Timely Filing,"Unless otherwise instructed, or required by Regulatory Requirements, Provider shall submit Claims to Plan, using appropriate and current Coded Service Identifier(s), within three hundred sixty-five (365) days from the date the Health Services are rendered or Plan may refuse payment. If Plan is the secondary payor, the three hundred sixty-five (365) day period will not begin until Provider receives notification of primary payor's responsibility. Provider agrees to submit Claims in a format consistent with industry standards and acceptable to Plan either (a) electronically through electronic data interchange ('EDI'), or (b) if electronic submission is not available, utilizing paper forms as defined by the National Uniform Claim Committee ('NUCC').","Provider must submit Claims to Plan, utilizing appropriate and current Coded Service Identifiers, within three hundred sixty-five (365) days from the date Health Services are rendered. Claims submitted after this 365-day period will be denied payment by Plan. If Plan functions as the secondary payor, the three hundred sixty-five (365) day period begins when Provider receives notification of the primary payor's responsibility. Provider is required to submit Claims in a format consistent with industry standards and acceptable to Plan, either electronically through EDI or using paper forms as defined by the NUCC.",standard
Medicaid Timely Filing,"Unless otherwise instructed, or required by Regulatory Requirements, Provider shall submit Claims to Plan, using appropriate and current Coded Service Identifier(s), within three hundred sixty-five (365) days from the date the Health Services are rendered or Plan may refuse payment. If Plan is the secondary payor, the three hundred sixty-five (365) day period will not begin until Provider receives notification of primary payor's responsibility. Provider agrees to submit Claims in a format consistent with industry standards and acceptable to Plan either (a) electronically through electronic data interchange ('EDI'), or (b) if electronic submission is not available, utilizing paper forms as defined by the National Uniform Claim Committee ('NUCC').","Submission of Claims to Plan by Provider is mandatory within 365 days of the Health Services' rendition date, requiring appropriate and current Coded Service Identifiers. Plan will refuse payment for any Claims filed beyond this 365-day limit. When Plan is the secondary payor, the 365-day filing timeframe commences upon Provider's receipt of primary payor responsibility notification. Provider must submit Claims in an industry-standard format approved by Plan, specifically either via EDI or through NUCC-defined paper forms.",standard
Medicaid Timely Filing,"Unless otherwise instructed, or required by Regulatory Requirements, Provider shall submit Claims to Plan, using appropriate and current Coded Service Identifier(s), within three hundred sixty-five (365) days from the date the Health Services are rendered or Plan may refuse payment. If Plan is the secondary payor, the three hundred sixty-five (365) day period will not begin until Provider receives notification of primary payor's responsibility. Provider agrees to submit Claims in a format consistent with industry standards and acceptable to Plan either (a) electronically through electronic data interchange ('EDI'), or (b) if electronic submission is not available, utilizing paper forms as defined by the National Uniform Claim Committee ('NUCC').","Claims must be submitted by Provider to Plan, employing current and correct Coded Service Identifiers, no later than three hundred sixty-five (365) days following the date Health Services are provided. Payments will be denied by Plan for Claims submitted past the 365-day deadline. For secondary payor situations where Plan is involved, the three hundred sixty-five (365) day period starts when Provider receives notification of primary payor's responsibility. Provider ensures Claims are submitted in an industry-standard format acceptable to Plan, using either electronic data interchange (EDI) or paper forms stipulated by the NUCC.",standard
Medicaid Timely Filing,"Unless otherwise instructed, or required by Regulatory Requirements, Provider shall submit Claims to Plan, using appropriate and current Coded Service Identifier(s), within three hundred sixty-five (365) days from the date the Health Services are rendered or Plan may refuse payment. If Plan is the secondary payor, the three hundred sixty-five (365) day period will not begin until Provider receives notification of primary payor's responsibility. Provider agrees to submit Claims in a format consistent with industry standards and acceptable to Plan either (a) electronically through electronic data interchange ('EDI'), or (b) if electronic submission is not available, utilizing paper forms as defined by the National Uniform Claim Committee ('NUCC').","Provider is obligated to furnish Claims to Plan with appropriate and current Coded Service Identifiers within 365 days from the date Health Services are performed. Plan will not issue payment for Claims received beyond this 365-day window. The 365-day period for secondary payor Claims (where Plan is secondary) is triggered by Provider's notification of primary payor responsibility. Claims submission by Provider must adhere to industry standards and Plan acceptance, utilizing either EDI for electronic transmission or NUCC-defined paper forms.",standard
Medicaid Timely Filing,"Unless otherwise instructed, or required by Regulatory Requirements, Provider shall submit Claims to Plan, using appropriate and current Coded Service Identifier(s), within three hundred sixty-five (365) days from the date the Health Services are rendered or Plan may refuse payment. If Plan is the secondary payor, the three hundred sixty-five (365) day period will not begin until Provider receives notification of primary payor's responsibility. Provider agrees to submit Claims in a format consistent with industry standards and acceptable to Plan either (a) electronically through electronic data interchange ('EDI'), or (b) if electronic submission is not available, utilizing paper forms as defined by the National Uniform Claim Committee ('NUCC').","It is mandatory for Provider to submit Claims to Plan, ensuring appropriate and current Coded Service Identifier(s) are used, within three hundred sixty-five (365) days of the service date. Plan will deny all payments for submissions exceeding the three hundred sixty-five (365) day timeframe. For claims where Plan acts as secondary payor, the 365-day timeframe commences only after Provider is notified of primary payor responsibility. Provider is mandated to use an industry-standard, Plan-acceptable format for Claims, consisting of electronic submission via EDI or paper forms from NUCC.",standard
Medicaid Timely Filing,"Unless otherwise instructed, or required by Regulatory Requirements, Provider shall submit Claims to Plan, using appropriate and current Coded Service Identifier(s), within three hundred sixty-five (365) days from the date the Health Services are rendered or Plan may refuse payment. If Plan is the secondary payor, the three hundred sixty-five (365) day period will not begin until Provider receives notification of primary payor's responsibility. Provider agrees to submit Claims in a format consistent with industry standards and acceptable to Plan either (a) electronically through electronic data interchange ('EDI'), or (b) if electronic submission is not available, utilizing paper forms as defined by the National Uniform Claim Committee ('NUCC').","Provider must forward Claims to Plan, accompanied by appropriate and current Coded Service Identifiers, within 365 days of Health Services delivery. Payments for Claims filed after the 365-day limit will be refused by Plan. In secondary payor scenarios, the 365-day clock for Claims filing starts when Provider receives primary payor notification. Claims must be submitted by Provider in a format consistent with industry standards and acceptable to Plan, using either electronic data interchange ('EDI') or paper forms defined by the National Uniform Claim Committee ('NUCC').",standard
Medicaid Timely Filing,"Unless otherwise instructed, or required by Regulatory Requirements, Provider shall submit Claims to Plan, using appropriate and current Coded Service Identifier(s), within three hundred sixty-five (365) days from the date the Health Services are rendered or Plan may refuse payment. If Plan is the secondary payor, the three hundred sixty-five (365) day period will not begin until Provider receives notification of primary payor's responsibility. Provider agrees to submit Claims in a format consistent with industry standards and acceptable to Plan either (a) electronically through electronic data interchange ('EDI'), or (b) if electronic submission is not available, utilizing paper forms as defined by the National Uniform Claim Committee ('NUCC').","The deadline for Claims submission by Provider to Plan, using appropriate and current Coded Service Identifiers, is three hundred sixty-five (365) days from the date Health Services are rendered. Any Claims submitted beyond these 365 days will result in payment denial by Plan. Provider's receipt of primary payor responsibility notification initiates the three hundred sixty-five (365) day filing period for Claims where Plan is secondary payor. Provider is required to submit Claims in an industry-standard format approved by Plan, either electronically via EDI or by utilizing paper forms as defined by NUCC.",standard
Medicaid Timely Filing,"Unless otherwise instructed, or required by Regulatory Requirements, Provider shall submit Claims to Plan, using appropriate and current Coded Service Identifier(s), within three hundred sixty-five (365) days from the date the Health Services are rendered or Plan may refuse payment. If Plan is the secondary payor, the three hundred sixty-five (365) day period will not begin until Provider receives notification of primary payor's responsibility. Provider agrees to submit Claims in a format consistent with industry standards and acceptable to Plan either (a) electronically through electronic data interchange ('EDI'), or (b) if electronic submission is not available, utilizing paper forms as defined by the National Uniform Claim Committee ('NUCC').","Provider is responsible for submitting Claims to Plan, with current and appropriate Coded Service Identifiers, within 365 days from the date services are performed. Plan will deny payment for Claims not received within this 365-day period. When Plan assumes the role of secondary payor, the 365-day period for filing Claims commences upon Provider's notification of primary payor responsibility. Submission of Claims by Provider requires an industry-standard format, which is acceptable to Plan, and involves either electronic data interchange (EDI) or paper forms defined by the National Uniform Claim Committee (NUCC).",standard
Medicaid Timely Filing,"Unless otherwise instructed, or required by Regulatory Requirements, Provider shall submit Claims to Plan, using appropriate and current Coded Service Identifier(s), within three hundred sixty-five (365) days from the date the Health Services are rendered or Plan may refuse payment. If Plan is the secondary payor, the three hundred sixty-five (365) day period will not begin until Provider receives notification of primary payor's responsibility. Provider agrees to submit Claims in a format consistent with industry standards and acceptable to Plan either (a) electronically through electronic data interchange ('EDI'), or (b) if electronic submission is not available, utilizing paper forms as defined by the National Uniform Claim Committee ('NUCC').","Claims from Provider to Plan necessitate appropriate and current Coded Service Identifiers for submission within three hundred sixty-five (365) days of the date Health Services are rendered. Plan will refuse payment for submissions that exceed the three hundred sixty-five (365) day limit. For situations where Plan is the secondary payor, the three hundred sixty-five (365) day period commences upon Provider's receipt of primary payor notification. Provider must submit Claims in a format consistent with industry standards and acceptable to Plan, utilizing either EDI or NUCC-defined paper forms.",standard
Medicaid Timely Filing,"Unless otherwise instructed, or required by Regulatory Requirements, Provider shall submit Claims to Plan, using appropriate and current Coded Service Identifier(s), within three hundred sixty-five (365) days from the date the Health Services are rendered or Plan may refuse payment. If Plan is the secondary payor, the three hundred sixty-five (365) day period will not begin until Provider receives notification of primary payor's responsibility. Provider agrees to submit Claims in a format consistent with industry standards and acceptable to Plan either (a) electronically through electronic data interchange ('EDI'), or (b) if electronic submission is not available, utilizing paper forms as defined by the National Uniform Claim Committee ('NUCC').","Provider must ensure Claims are submitted to Plan, with appropriate and current Coded Service Identifiers, within 365 days of the date Health Services are provided. Payment will be denied by Plan for any Claims submitted beyond this 365-day deadline. The 365-day timeframe for secondary payor situations, with Plan as secondary, starts upon Provider's receipt of primary payor notification. Provider is obligated to submit Claims in an industry-standard format acceptable to Plan, either electronically through EDI or by using paper forms as defined by NUCC.",standard
